"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"FRJ26",220247.546875,222447.046875,232900.859375,255728.71875
"FRJ27",462224.03125,470884.21875,495660.875,541993.1875
"FRJ28",571004.75,591647.0625,637388.375,730393.625
"FRK11",317412.8125,318624,332402,365164.25
"FRK12",140322.859375,141476.015625,151147.703125,175278.46875
"FRK13",354807.15625,366927.15625,401156.5,474865.5625
"FRK14",691369.5625,717084,782014.75,915112.375
"FRK21",974199.1875,998824.1875,1048735.625,1139680.375
"FRK22",541451.8125,553230.3125,584707.9375,644303.3125
"FRK23",489827,500594.84375,527778.875,580734.1875
"FRK24",1321956.25,1375305.625,1486109.375,1690681
"FRK25",569457.75,584921.75,624009.5625,704995.5625
"FRK26",1601846.375,1666269.75,1804931.75,2063669.25
